OBJECTID,Well registration number,Well classification,Licence number,Licence operator,"Spud date, day/month/year","Water depth, m",Rig datum type,"Datum elevation, m","TD depth MD, m","TD depth TVDSS, m","TD date, day/month/year",Mechanical status,Target 1 age,Target 1 name,Reservoir 1 age,Reservoir 1 name,"Reservoir 1 gross thickness, m TVD",Reservoir 1 rock type,Reservoir 1 fluid type,"Reservoir 1 total flow period, hrs","Reservoir 1 maximum flow, bbls/day","Reservoir 1 maximum flow rate, mmcf/day","Reservoir 1 choke size at maximum flow rate, inch","Reservoir 1 total oil production, tonnes","Reservoir 1 total gas production, m3","Reservoir 1 total condensate production, m3","Reservoir 1 maximum wellhead flowing pressure, bar","Reservoir 1 maximum wellhead temperature, oC","Reservoir 1 average water cute, %",Target 2 age,Target 2 name,Reservoir 2 age,Reservoir 2 name,"Reservoir 2 gross thickness, m",Reservoir 2 rock type,Reservoir 2 fluid type,Target 3 age,Target 3 name,Reservoir 3 age,Reservoir 3 name,"Reservoir 3 gross thickness, m",Reservoir 3 rock type,Reservoir 3 fluid type,Target 4 age,Target 4 name,Reservoir 4 age,Reservoir 4 name,"Reservoir 4 gross thickness, m",Reservoir 4 rock type,Reservoir 4 fluid type,Open data,x,y
579,22/12d- 13,Exploration,P2380,SHELL U.K. LIMITED,11/28/2021 12:00:00 AM,92,Rotary Table,50.6,4195,4078,1/28/2022 12:00:00 AM,Abandoned Phase 3,Upper Jurassic,Fulmar Formation,Upper Jurassic,Fulmar Formation,30.5,Sandstone,Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.36759666700004,57.5740769440001
580,211/14a- 10,Exploration,P296,SHELL U.K. LIMITED,6/8/2019 12:00:00 AM,163.1,Mean Sea Level,26.1,4710.1,3728.6,9/14/2022 12:00:00 AM,Completed (Shut In),Lower Jurassic,Brent Formation,Lower Jurassic,Brent Formation,236,Sandstone,Oil,8,2762,1.414,36,,,,51,17,0,,,,,,,,,,,,,,,,,,,,,,Y,1.60732361100003,61.564318056
581,41/05a- 2,Exploration,P2252,SHELL U.K. LIMITED,11/21/2022 12:00:00 AM,69.8,Rotary Table,45,1996,1936,12/28/2022 12:00:00 AM,Abandoned Phase 3,Upper Permian,Zechstein Group,Upper Permian,Haupt Dolomite Formation,19,Dolomite,Gas and Oil,38,,,128,5,90752,56,6,18,0,,,,,,,,,,,,,,,,,,,,,,Y,-0.0554463889999397,54.905661111
582,30/12d- 12,Appraisal,P1820,TOTALENERGIES E&P NORTH SEA UK LIMITED,9/1/2022 12:00:00 AM,79.5,Rotary Table,48.7,5225,4958,12/18/2022 12:00:00 AM,Abandoned Phase 3,Middle Triassic,Judy Sandstone Member,Middle Triassic,Judy Sandstone Member,,Sandstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,2.20780277800003,56.629838889
588,22/08a- 5,Exploration,P2377,SHELL U.K. LIMITED,8/14/2022 12:00:00 AM,83.97239987,Rotary Table,50.59679992,4481.779193,4343.399993,10/12/2022 12:00:00 AM,Abandoned Phase 3,Upper Jurassic,Fulmar,Upper Jurassic,Fulmar,,Sandstone,Oil and Gas,53,5200,16.1,30/64,927,549670,0,532,78.89,0,,,,,,,,,,,,,,,,,,,0,,,Y,1.40284863900007,57.698046278
590,3/24c- 6,Exploration,P2501,SERICA ENERGY (UK) LIMITED,7/11/2022 12:00:00 AM,110.0328,Rotary Table,23.4696,241.7064,218.2368,7/12/2022 12:00:00 AM,Abandoned Phase 2,Lower Jurassic,Kimmeridge Clay Upper/Lower Main Sands,Lower Jurassic,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,0,,,Y,1.70297055600003,60.1898525
596,27/05- 1,Appraisal,P2321,NORTH SEA NATURAL RESOURCES LTD,10/17/2023 12:00:00 AM,79.86,Rotary Table,48.77,1277.11,1228.34,11/27/2023 12:00:00 AM,Abandoned Phase 3,Upper Permian,Zechstein Z1/Z2,Upper Permian (Zechstein),Zechstein Z1 Dolomite,36.42,Limestone,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,Y,-0.136097499999948,56.910056667
597,3/24c- 6B,Exploration,P2501,SERICA ENERGY (UK) LIMITED,8/9/2022 12:00:00 AM,110.49,Rotary Table,23.47,5098.69,4933.49,11/27/2022 12:00:00 AM,Abandoned Phase 2,Upper Jurassic,Kimmeridge Clay Upper Main Sands,Upper Jurassic,Kimmeridge Clay Upper Main Sands,27,Sandstone,Gas and Condensate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,Y,1.70295000000004,60.1901972220001
611,21/24-W7,Appraisal,P21,DANA PETROLEUM (E&P) LIMITED,10/4/2024 12:00:00 AM,85.4354398701381,Rotary Table,25.1002799618476,2640.787195986,1652.85419748766,10/29/2024 12:00:00 AM,Abandoned Phase 1,Eocene,Tay Sandstone,Eocene,Tay Sandstone,22.98,Sandstone,Oil and Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,0.742401667000024,57.1896697220001
613,3/24c- 6A,Exploration,P2501,SERICA ENERGY (UK) LIMITED,7/19/2022 12:00:00 AM,110.03279983275,Rotary Table,23.4695999643262,322.78319950937,299.313599545043,7/26/2022 12:00:00 AM,Abandoned Phase 3,Upper Jurassic,Kimmeridge Upper/Lower Main Sandstones,Lower Jurassic,Kimmeridge Clay Upper/Lower Main Sands,,,Condensate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,1.70300388900006,60.189491667
